Original Air Date,Title,Instructor,Length,Type
Tue Jan 21 08:49:00 2020,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Tue Jan 21 08:08:00 2020,5 min Rest Day Meditation ,Aditi Shah,5.0,Fitness Focus
Tue Jan 21 07:49:00 2020,5 min Breathing Meditation,Aditi Shah,5.0,Mindfulness
Mon Jan 20 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Fri Jan 17 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Thu Jan 16 15:31:00 2020,20 min Courage Meditation,Aditi Shah,20.0,Emotions
Thu Jan 16 13:22:00 2020,15 min Sleep Meditation,Aditi Shah,15.0,Relax & Sleep
Thu Jan 16 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Wed Jan 15 13:27:00 2020,5 min Basics: Visualizations,Anna Greenberg,5.0,Meditation Basics
Wed Jan 15 08:48:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Tue Jan 14 08:50:00 2020,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Mon Jan 13 17:01:00 2020,10 min Relaxing Meditation,Kristin McGee,10.0,Relax & Sleep
Mon Jan 13 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Sun Jan 12 09:10:00 2020,20 min Sleep Meditation,Kristin McGee,20.0,Relax & Sleep
Fri Jan 10 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Thu Jan  9 16:19:00 2020,30 min Relaxing Meditation,Aditi Shah,30.0,Relax & Sleep
Thu Jan  9 13:21:00 2020,10 min Energizing Meditation,Anna Greenberg,10.0,Emotions
Thu Jan  9 08:49:00 2020,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Wed Jan  8 13:23:00 2020,20 min Sleep Meditation,Aditi Shah,20.0,Relax & Sleep
Wed Jan  8 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Tue Jan  7 17:01:00 2020,10 min Relaxing Meditation,Ross Rayburn,10.0,Relax & Sleep
Tue Jan  7 08:47:00 2020,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Tue Jan  7 08:10:00 2020,5 min Body Scan Meditation,Aditi Shah,5.0,Mindfulness
Tue Jan  7 07:53:00 2020,5 min Meditation for Healing,Aditi Shah,5.0,Emotions
Mon Jan  6 08:48:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Jan  6 08:11:00 2020,10 min Acceptance Meditation,Anna Greenberg,10.0,Emotions
Sun Jan  5 09:04:00 2020,10 min Gratitude Meditation,Kristin McGee,10.0,Emotions
Fri Jan  3 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Fri Jan  3 08:18:00 2020,5 min Peace Meditation,Kristin McGee,5.0,Emotions
Fri Jan  3 07:55:00 2020,15 min Sleep Meditation,Kristin McGee,15.0,Relax & Sleep
Thu Jan  2 13:38:00 2020,5 min Relaxing Meditation,Anna Greenberg,5.0,Relax & Sleep
Thu Jan  2 13:22:00 2020,10 min Breathing Meditation,Anna Greenberg,10.0,Mindfulness
Thu Jan  2 08:48:00 2020,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Jan  2 08:06:00 2020,5 min Mid-Night Meditation,Ross Rayburn,5.0,Relax & Sleep
Thu Jan  2 07:58:00 2020,5 min Long Run Meditation,Ross Rayburn,5.0,Fitness Focus
Wed Jan  1 08:48:00 2020,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Wed Jan  1 08:16:00 2020,20 min Energizing Meditation,Aditi Shah,20.0,Emotions
Tue Dec 31 08:48:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Dec 30 15:31:00 2019,20 min Kindness Meditation,Ross Rayburn,20.0,Emotions
Mon Dec 30 13:39:00 2019,5 min Basics: Emotional Balance,Ross Rayburn,5.0,Meditation Basics
Mon Dec 30 13:27:00 2019,10 min Acceptance Meditation,Ross Rayburn,10.0,Emotions
Mon Dec 30 09:28:00 2019,10 min Courage Meditation,Anna Greenberg,10.0,Emotions
Mon Dec 30 09:14:00 2019,10 min Empathy Meditation,Anna Greenberg,10.0,Emotions
Mon Dec 30 08:48:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Fri Dec 27 08:49:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Dec 26 13:33:00 2019,10 min Sleep Meditation,Anna Greenberg,10.0,Relax & Sleep
Thu Dec 26 13:23:00 2019,5 min Happiness Meditation,Anna Greenberg,5.0,Emotions
Thu Dec 26 08:47:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Dec 26 08:17:00 2019,20 min Patience Meditation,Ross Rayburn,20.0,Emotions
Tue Dec 24 08:47:00 2019,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Tue Dec 24 05:31:00 2019,20 min Gratitude Meditation,Anna Greenberg,20.0,Emotions
Mon Dec 23 08:48:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Dec 23 08:01:00 2019,10 min Peace Meditation,Anna Greenberg,10.0,Emotions
Mon Dec 23 07:53:00 2019,5 min Calming Meditation,Anna Greenberg,5.0,Relax & Sleep
Mon Dec 23 06:48:00 2019,5 min Sleep Meditation,Aditi Shah,5.0,Relax & Sleep
Mon Dec 23 06:39:00 2019,5 min Meditation for Healing,Aditi Shah,5.0,Emotions
Mon Dec 23 06:21:00 2019,10 min Relaxing Meditation,Aditi Shah,10.0,Relax & Sleep
Thu Dec 19 15:31:00 2019,20 min Acceptance Meditation,Anna Greenberg,20.0,Emotions
Sat Dec 14 08:48:00 2019,10 min Gratitude Meditation,Kristin McGee,10.0,Emotions
Sat Dec 14 08:41:00 2019,5 min Kindness Meditation,Kristin McGee,5.0,Emotions
Fri Dec 13 08:47:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Dec 12 08:47:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Dec 12 08:01:00 2019,5 min Courage Meditation,Ross Rayburn,5.0,Emotions
Thu Dec 12 07:54:00 2019,5 min Relaxing Meditation,Ross Rayburn,5.0,Relax & Sleep
Wed Dec 11 08:51:00 2019,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Tue Dec 10 16:18:00 2019,30 min Calming Meditation,Ross Rayburn,30.0,Relax & Sleep
Tue Dec 10 08:48:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Tue Dec 10 05:31:00 2019,20 min Energizing Meditation,Anna Greenberg,20.0,Emotions
Mon Dec  9 15:31:00 2019,20 min Peace Meditation,Ross Rayburn,20.0,Emotions
Mon Dec  9 13:21:00 2019,10 min Meditation for Healing,Ross Rayburn,10.0,Emotions
Mon Dec  9 08:50:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Fri Dec  6 08:47:00 2019,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Fri Dec  6 08:10:00 2019,10 min Sleep Meditation,Kristin McGee,10.0,Relax & Sleep
Fri Dec  6 06:37:00 2019,10 min Body Scan Meditation,Ross Rayburn,10.0,Mindfulness
Fri Dec  6 06:22:00 2019,10 min Empathy Meditation,Ross Rayburn,10.0,Emotions
Thu Dec  5 08:49:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Dec  5 07:11:00 2019,5 min Acceptance Meditation,Ross Rayburn,5.0,Emotions
Wed Dec  4 08:52:00 2019,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Tue Dec  3 08:49:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Dec  2 15:31:00 2019,20 min Relaxing Meditation,Kristin McGee,20.0,Relax & Sleep
Mon Dec  2 08:49:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Dec  2 05:31:00 2019,20 min Courage Meditation,Anna Greenberg,20.0,Emotions
Fri Nov 29 08:49:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Fri Nov 29 08:07:00 2019,10 min Breathing Meditation,Ross Rayburn,10.0,Mindfulness
Wed Nov 27 08:47:00 2019,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Wed Nov 27 07:58:00 2019,5 min Meditation for Healing,Kristin McGee,5.0,Emotions
Wed Nov 27 06:59:00 2019,10 min Gratitude Meditation,Aditi Shah,10.0,Emotions
Wed Nov 27 06:37:00 2019,15 min Sleep Meditation,Aditi Shah,15.0,Relax & Sleep
Wed Nov 27 06:22:00 2019,10 min Energizing Meditation,Aditi Shah,10.0,Emotions
Wed Nov 27 05:31:00 2019,20 min Calming Meditation,Kristin McGee,20.0,Relax & Sleep
Tue Nov 26 16:21:00 2019,30 min Relaxing Meditation,Ross Rayburn,30.0,Relax & Sleep
