Original Air Date,Title,Instructor,Length,Type
Mon Mar 23 07:19:00 2020,45 min Bootcamp: Bodyweight,Selena Samuela,45.0,Bodyweight (Bootcamp)
Sat Mar 21 07:19:00 2020,60 min Hip Hop Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Fri Mar 20 10:17:00 2020,45 min Caribbean Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Fri Mar 20 07:19:00 2020,45 min Bootcamp: Full Body,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Mar 14 07:48:00 2020,60 min 2000s Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Thu Mar 12 15:19:00 2020,45 min Bootcamp: Core,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Mar 12 14:18:00 2020,45 min Bootcamp: Full Body,Olivia Amato,45.0,Body Focus (Bootcamp)
Wed Mar 11 14:16:00 2020,45 min WHM Celebration Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Tue Mar 10 14:20:00 2020,30 min Hip Hop Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Tue Mar 10 03:48:00 2020,30 min Bootcamp: Core,Jess Sims,30.0,Body Focus (Bootcamp)
Mon Mar  9 16:19:00 2020,45 min Bootcamp: Arms & Shoulders,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Mar  9 05:00:00 2020,45 min WHM Celebration Bootcamp,Jess Sims,45.0,Theme (Bootcamp)
Sat Mar  7 07:47:00 2020,60 min Bootcamp: Arms & Shoulders,Jess Sims,60.0,Body Focus (Bootcamp)
Thu Mar  5 15:17:00 2020,45 min Bootcamp: Full Body,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Mar  5 04:47:00 2020,30 min Bootcamp: Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Wed Mar  4 14:13:00 2020,45 min Bootcamp: Glutes & Legs,Chase Tucker,45.0,Body Focus (Bootcamp)
