Original Air Date,Type,Instructor,Length
Fri May 17 06:21:00 2019,Upper Body Stretch,Andy Speer,10.0
Fri May 17 05:52:00 2019,Upper Body Stretch,Andy Speer,10.0
Wed May 15 12:38:00 2019,Pre & Post-Ride Stretch,Alex Toussaint,5.0
Tue May 14 11:59:00 2019,Full Body Stretch,Robin Arzon,5.0
Tue May 14 10:03:00 2019,Full Body Stretch,Christine D'Ercole,10.0
Tue May 14 06:46:00 2019,Pre & Post-Run Stretch,Andy Speer,10.0
Mon May 13 23:27:00 2019,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Sat May 11 11:30:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,10.0
Sat May 11 11:05:00 2019,Pre & Post-Run Stretch,Olivia Amato,10.0
Sat May 11 10:30:00 2019,Pre & Post-Run Stretch,Olivia Amato,10.0
Thu May  9 11:56:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Thu May  9 06:09:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Mon Apr 29 12:17:00 2019,Pre & Post-Ride Stretch,Cody Rigsby,5.0
Mon Apr 29 12:19:00 2019,Lower Body Stretch,Hannah Corbin,10.0
Mon Apr 29 06:37:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Fri Apr 26 11:33:00 2019,Pre & Post-Ride Stretch,Cody Rigsby,5.0
Fri Apr 26 06:35:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Fri Apr 26 05:51:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Tue Apr 23 12:35:00 2019,Pre & Post-Ride Stretch,Jess King,5.0
Tue Apr 23 11:33:00 2019,Pre & Post-Ride Stretch,Christine D'Ercole,5.0
Mon Apr 22 11:28:00 2019,Pre & Post-Ride Stretch,Olivia Amato,5.0
Mon Apr 22 06:41:00 2019,Full Body Stretch,Rebecca Kennedy,5.0
Sun Apr 21 09:58:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Fri Apr 19 11:24:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Tue Apr 16 12:07:00 2019,Pre & Post-Ride Stretch,Robin Arzon,5.0
Fri Apr 12 11:28:00 2019,Pre & Post-Ride Stretch,Denis Morton,5.0
Wed Apr 10 12:40:00 2019,Pre & Post-Ride Stretch,Alex Toussaint,5.0
Sat Apr  6 11:20:00 2019,Pre & Post-Ride Stretch,Ally Love,5.0
Sat Apr  6 10:08:00 2019,Pre & Post-Run Stretch,Matty Maggiacomo,5.0
Tue Apr  2 21:00:00 2019,Pre & Post-Run Stretch,Jess Sims,5.0
Mon Apr  1 13:45:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Fri Mar 29 07:56:00 2019,Full Body Stretch,Olivia Amato,10.0
Thu Mar 28 12:10:00 2019,Upper Body Stretch,Hannah Corbin,10.0
Thu Mar 28 11:31:00 2019,Full Body Stretch,Hannah Corbin,15.0
Tue Mar 26 11:38:00 2019,Pre & Post-Ride Stretch,Emma Lovewell,4.983333333333333
Tue Mar 26 11:54:00 2019,Pre & Post-Run Stretch,Robin Arzon,5.0
Mon Mar 25 12:50:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,10.0
Sun Mar 24 10:05:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Sat Mar 23 11:58:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Sat Mar 23 11:50:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Sat Mar 23 10:19:00 2019,Pre & Post-Run Stretch,Matty Maggiacomo,5.0
Thu Mar 21 12:04:00 2019,Full Body Stretch,Jess King,15.0
Tue Mar 19 11:53:00 2019,Pre & Post-Ride Stretch,Christine D'Ercole,4.983333333333333
Tue Mar 12 12:10:00 2019,Lower Body Stretch,Robin Arzon,5.0
Mon Mar 11 11:30:00 2019,Pre & Post-Ride Stretch,Jennifer Jacobs,5.0
