Original Air Date,Type,Instructor,Length
Mon Jan  6 16:18:00 2020,Intervals Running,Matty Maggiacomo,30.0
Mon Jan  6 15:17:00 2020,Speed Running,Chase Tucker,45.0
Mon Jan  6 04:50:00 2020,Fun Run,Jess Sims,45.0
Mon Jan  6 03:49:00 2020,Intervals Running,Selena Samuela,20.0
Mon Jan  6 02:47:00 2020,Intervals Running,Olivia Amato,45.0
Sun Jan  5 09:18:00 2020,Fun Run,Selena Samuela,45.0
Sat Jan  4 05:19:00 2020,Fun Run,Andy Speer,20.0
Fri Jan  3 08:48:00 2020,Fun Run,Andy Speer,30.0
Fri Jan  3 03:48:00 2020,Fun Run,Matty Maggiacomo,20.0
Thu Jan  2 15:16:00 2020,Fun Run,Andy Speer,45.0
Thu Jan  2 12:49:00 2020,Warm Up/Cool Down Running,Olivia Amato,10.0
Thu Jan  2 05:11:00 2020,Intervals Running,Matt Wilpers,30.0
Thu Jan  2 04:48:00 2020,Warm Up/Cool Down Running,Matt Wilpers,10.0
Thu Jan  2 03:48:00 2020,Intervals Running,Jess Sims,20.0
Wed Jan  1 05:52:00 2020,Intervals Running,Matt Wilpers,20.0
Wed Jan  1 05:17:00 2020,Fun Run,Matt Wilpers,20.0
Tue Dec 31 06:18:00 2019,Fun Run,Jess Sims,30.0
Mon Dec 30 05:21:00 2019,Intervals Running,Rebecca Kennedy,20.0
Sun Dec 29 07:49:00 2019,Fun Run,Selena Samuela,60.0
Sat Dec 28 06:17:00 2019,Warm Up/Cool Down Running,Chase Tucker,10.0
Sat Dec 28 05:19:00 2019,Fun Run,Becs Gentry,45.0
Fri Dec 27 09:00:00 2019,Scenic (Running),None,30.0
Fri Dec 27 09:00:00 2019,Scenic (Running),None,15.0
Fri Dec 27 09:00:00 2019,Scenic (Running),None,15.0
Fri Dec 27 09:00:00 2019,Scenic (Running),None,10.0
Fri Dec 27 09:00:00 2019,Scenic (Running),None,20.0
Fri Dec 27 09:00:00 2019,Fun Run,Andy Speer,30.0
Fri Dec 27 06:30:00 2019,Fun Run,Olivia Amato,30.0
